FEATURE_NAME,MEAN_ABS_SHAP,FEATURE_GROUP
D1_FP_503,0.001059122,FP
D2_FP_415,0.001052805,FP
D1_FP_432,0.0010486804,FP
D2_FP_878,0.0010479753,FP
D2_FP_833,0.0010472588,FP
D1_FP_255,0.0010374862,FP
D2_FP_244,0.001037075,FP
D2_FP_843,0.0010355874,FP
D1_FP_708,0.0010342902,FP
D1_FP_1019,0.0010326125,FP
D1_FP_460,0.001021679,FP
D2_FP_885,0.0010135164,FP
D2_FP_703,0.0010134004,FP
D2_FP_476,0.001008573,FP
D2_FP_896,0.0010064871,FP
D1_FP_902,0.0010064333,FP
D2_FP_448,0.0009915273,FP
D2_FP_182,0.0009864962,FP
D2_FP_605,0.0009817225,FP
D2_FP_481,0.0009810734,FP
D1_FP_672,0.0009703941,FP
D2_FP_83,0.0009701065,FP
D1_FP_694,0.0009699546,FP
D1_FP_381,0.00096663384,FP
D2_FP_493,0.00096427905,FP
D1_FP_436,0.00096197345,FP
D1_FP_715,0.00095342664,FP
D2_FP_437,0.00095247175,FP
D2_FP_930,0.0009506846,FP
D2_FP_791,0.00094583404,FP
D2_FP_367,0.00094569335,FP
D2_FP_55,0.0009450593,FP
D2_FP_808,0.00093287794,FP
D2_FP_687,0.0009315725,FP
D2_FP_650,0.00093040656,FP
D1_FP_250,0.000930238,FP
D2_FP_149,0.0009280587,FP
D1_FP_640,0.0009194446,FP
D1_FP_401,0.00091738254,FP
D2_FP_490,0.000914016,FP
D2_FP_192,0.00091371074,FP
D2_FP_389,0.0009114789,FP
D1_FP_726,0.0009037869,FP
D2_FP_325,0.00089133804,FP
D2_FP_137,0.0008685493,FP
D2_FP_667,0.0008684242,FP
D1_FP_15,0.0008655368,FP
D2_FP_550,0.0008654914,FP
D1_FP_808,0.0008642212,FP
D1_FP_899,0.0008597317,FP
D2_FP_407,0.0008584661,FP
D2_FP_963,0.0008581023,FP
D2_FP_289,0.0008532867,FP
MUT_cnaPANCAN54,0.0008496709,MUTATION
D2_FP_953,0.00084463845,FP
D2_FP_383,0.0008417009,FP
D1_FP_568,0.0008391091,FP
D2_FP_540,0.0008389329,FP
D2_FP_835,0.00083651405,FP
D2_FP_321,0.00083351554,FP
D1_FP_736,0.00083216,FP
D2_FP_138,0.00082879333,FP
D2_FP_253,0.00082464825,FP
D2_FP_870,0.0008239911,FP
D1_FP_380,0.0008234364,FP
D2_FP_1008,0.00082144025,FP
D1_FP_992,0.00082021876,FP
D1_FP_667,0.00081843865,FP
D2_FP_552,0.0008116449,FP
D2_FP_79,0.0008085883,FP
D1_FP_46,0.0008064014,FP
D2_FP_713,0.00079758704,FP
D2_FP_739,0.00079494825,FP
D1_FP_638,0.00078640995,FP
D1_FP_312,0.00077353837,FP
D2_FP_730,0.000771182,FP
D1_FP_227,0.00077100884,FP
D1_FP_137,0.00076965574,FP
D2_FP_558,0.00076891715,FP
